url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2000-06-17,6/17/2000,46,Never Let You Go,Third Eye Blind,Never Let You GoThird Eye Blind,1,45,14,22,65,2000,6,
http://www.billboard.com/charts/hot-100/2009-11-07,11/7/2009,51,Never Say Never,The Fray,Never Say NeverThe Fray,1,47,32,20,90,2009,11,
http://www.billboard.com/charts/hot-100/2003-08-16,8/16/2003,84,Never Scared,Bone Crusher Featuring Killer Mike & T.I.,Never ScaredBone Crusher Featuring Killer Mike & T.I.,1,79,26,20,99,2003,8,
http://www.billboard.com/charts/hot-100/2002-01-12,1/12/2002,100,Never Too Far/Hero Medley,Mariah Carey,Never Too Far/Hero MedleyMariah Carey,1,92,81,3,81,2002,1,
http://www.billboard.com/charts/hot-100/2007-12-29,12/29/2007,72,Never Too Late,Three Days Grace,Never Too LateThree Days Grace,3,71,71,20,100,2007,12,
http://www.billboard.com/charts/hot-100/2007-11-17,11/17/2007,94,Never Wanted Nothing More,Kenny Chesney,Never Wanted Nothing MoreKenny Chesney,1,93,22,20,65,2007,11,
http://www.billboard.com/charts/hot-100/2008-09-20,9/20/2008,99,Never Would Have Made It,Marvin Sapp,Never Would Have Made ItMarvin Sapp,1,98,82,13,95,2008,9,
http://www.billboard.com/charts/hot-100/2002-06-01,6/1/2002,98,Never,Amanda Perez,NeverAmanda Perez,1,92,79,16,94,2002,6,
http://www.billboard.com/charts/hot-100/2008-05-03,5/3/2008,82,Never,Jaheim,NeverJaheim,2,83,76,17,95,2008,5,
http://www.billboard.com/charts/hot-100/2004-08-28,8/28/2004,93,New Day,Patti LaBelle,New DayPatti LaBelle,2,100,93,7,95,2004,8,
http://www.billboard.com/charts/hot-100/2009-10-17,10/17/2009,63,New Divide,Linkin Park,New DivideLinkin Park,1,58,6,20,6,2009,10,
http://www.billboard.com/charts/hot-100/2008-06-28,6/28/2008,99,New Soul,Yael Naim,New SoulYael Naim,2,95,93,19,9,2008,6,
http://www.billboard.com/charts/hot-100/2005-02-19,2/19/2005,84,New York,Ja Rule Featuring Fat Joe & Jadakiss,New YorkJa Rule Featuring Fat Joe & Jadakiss,1,62,27,14,72,2005,2,
http://www.billboard.com/charts/hot-100/2009-05-23,5/23/2009,98,Next To You,Mike Jones,Next To YouMike Jones,1,86,71,10,87,2009,5,
http://www.billboard.com/charts/hot-100/2006-10-07,10/7/2006,100,Ni Una Sola Palabra,Paulina Rubio,Ni Una Sola PalabraPaulina Rubio,1,98,98,2,98,2006,10,
http://www.billboard.com/charts/hot-100/2008-06-21,6/21/2008,97,Nine In The Afternoon,Panic! At The Disco,Nine In The AfternoonPanic! At The Disco,1,87,51,19,79,2008,6,
http://www.billboard.com/charts/hot-100/2009-10-31,10/31/2009,65,No Air,Glee Cast,No AirGlee Cast,1,,65,1,65,2009,10,
http://www.billboard.com/charts/hot-100/2008-09-13,9/13/2008,50,No Air,Jordin Sparks Duet With Chris Brown,No AirJordin Sparks Duet With Chris Brown,1,43,3,35,95,2008,9,
http://www.billboard.com/charts/hot-100/2004-05-01,5/1/2004,88,No Better Love,Young Gunz Featuring Rell,No Better LoveYoung Gunz Featuring Rell,1,80,36,14,76,2004,5,
http://www.billboard.com/charts/hot-100/2009-06-13,6/13/2009,95,No Boundaries,Adam Lambert,No BoundariesAdam Lambert,1,72,72,2,72,2009,6,
http://www.billboard.com/charts/hot-100/2009-06-20,6/20/2009,78,No Boundaries,Kris Allen,No BoundariesKris Allen,1,23,11,3,11,2009,6,
http://www.billboard.com/charts/hot-100/2000-04-15,4/15/2000,95,No Leaf Clover,Metallica,No Leaf CloverMetallica,1,95,74,10,86,2000,4,
http://www.billboard.com/charts/hot-100/2003-08-09,8/9/2003,50,No Letting Go,Wayne Wonder,No Letting GoWayne Wonder,1,37,11,31,75,2003,8,
http://www.billboard.com/charts/hot-100/2002-04-27,4/27/2002,90,No Matta What (Party All Night),Toya,No Matta What (Party All Night)Toya,1,86,86,7,97,2002,4,
http://www.billboard.com/charts/hot-100/2000-09-16,9/16/2000,97,No Matter What They Say,Lil' Kim,No Matter What They SayLil' Kim,1,90,60,10,80,2000,9,
http://www.billboard.com/charts/hot-100/2008-05-31,5/31/2008,93,No Matter What,T.I.,No Matter WhatT.I.,1,72,72,2,72,2008,5,
