weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
2/12/2005,85,Hate It Or Love It,The Game Featuring 50 Cent,Hate It Or Love ItThe Game Featuring 50 Cent,1,,85,1
4/29/2006,88,Hate Me,Blue October,Hate MeBlue October,1,,88,1
9/15/2007,98,Hate That I Love You,Rihanna Featuring Ne-Yo,Hate That I Love YouRihanna Featuring Ne-Yo,1,,98,1
7/20/2002,91,Hate To Say I Told You So,The Hives,Hate To Say I Told You SoThe Hives,1,,91,1
10/8/2005,58,Have A Nice Day,Bon Jovi,Have A Nice DayBon Jovi,1,,58,1
3/15/2003,50,Have You Forgotten?,Darryl Worley,Have You Forgotten?Darryl Worley,1,,50,1
9/19/2009,65,Haven't Met You Yet,Michael Buble,Haven't Met You YetMichael Buble,1,,65,1
7/25/2009,10,He Could Be The One,Hannah Montana,He Could Be The OneHannah Montana,1,,10,1
12/18/2004,71,He Gets That From Me,Reba McEntire,He Gets That From MeReba McEntire,1,,71,1
10/26/2002,98,He Is,Heather Headley,He IsHeather Headley,1,,98,1
9/30/2000,99,He Loves U Not,Dream,He Loves U NotDream,1,,99,1
1/27/2007,77,He Said She Said,Ashley Tisdale,He Said She SaidAshley Tisdale,1,,77,1
3/18/2000,63,He Wasn't Man Enough,Toni Braxton,He Wasn't Man EnoughToni Braxton,1,,63,1
10/25/2008,74,Headfirst Slide Into Cooperstown On A Bad Bet,Fall Out Boy,Headfirst Slide Into Cooperstown On A Bad BetFall Out Boy,1,,74,1
11/24/2007,90,Headlines (Friendship Never Ends),Spice Girls,Headlines (Friendship Never Ends)Spice Girls,1,,90,1
7/10/2004,89,Headsprung,LL Cool J,HeadsprungLL Cool J,1,,89,1
4/5/2003,71,Headstrong,Trapt,HeadstrongTrapt,1,,71,1
10/29/2005,100,Heard 'Em Say,Kanye West Featuring Adam Levine,Heard 'Em SayKanye West Featuring Adam Levine,1,,100,1
3/10/2001,55,Heard It All Before,Sunshine Anderson,Heard It All BeforeSunshine Anderson,1,,55,1
12/5/2009,100,Heartbreak Warfare,John Mayer,Heartbreak WarfareJohn Mayer,1,,100,1
11/22/2008,4,Heartless,Kanye West,HeartlessKanye West,1,,4,1
6/6/2009,16,Heartless,Kris Allen,HeartlessKris Allen,1,,16,1
5/30/2009,79,Heartless,The Fray,HeartlessThe Fray,1,,79,1
5/17/2008,83,Heaven Sent,Keyshia Cole,Heaven SentKeyshia Cole,1,,83,1
6/1/2002,93,Heaven,DJ Sammy & Yanou Featuring Do,HeavenDJ Sammy & Yanou Featuring Do,1,,93,1
8/30/2003,79,Heaven,Live,HeavenLive,1,,79,1
5/15/2004,67,Heaven,Los Lonely Boys,HeavenLos Lonely Boys,1,,67,1
7/9/2005,98,Helena (So Long & Goodnight),My Chemical Romance,Helena (So Long & Goodnight)My Chemical Romance,1,,98,1
10/24/2009,54,Hell Of A Life,T.I.,Hell Of A LifeT.I.,1,,54,1
2/22/2003,64,Hell Yeah,Ginuwine Featuring Baby,Hell YeahGinuwine Featuring Baby,1,,64,1
11/1/2003,74,Hell Yeah,Montgomery Gentry,Hell YeahMontgomery Gentry,1,,74,1
4/20/2002,63,Hella Good,No Doubt,Hella GoodNo Doubt,1,,63,1
4/30/2005,85,Hello Tomorrow,Squeak E. Clean Featuring Karen O,Hello TomorrowSqueak E. Clean Featuring Karen O,1,,85,1
6/7/2008,73,Hello,David Cook,HelloDavid Cook,1,,73,1
7/20/2002,80,Help Me Understand,Trace Adkins,Help Me UnderstandTrace Adkins,1,,80,1
6/21/2003,86,Help Pour Out The Rain (Lacey's Song),Buddy Jewell,Help Pour Out The Rain (Lacey's Song)Buddy Jewell,1,,86,1
7/16/2005,91,Help Somebody,Van Zant,Help SomebodyVan Zant,1,,91,1
10/28/2000,77,Hemorrhage (In My Hands),Fuel,Hemorrhage (In My Hands)Fuel,1,,77,1
6/6/2009,42,Her Diamonds,Rob Thomas,Her DiamondsRob Thomas,1,,42,1
11/18/2006,97,Here (In Your Arms),Hellogoodbye,Here (In Your Arms)Hellogoodbye,1,,97,1
3/14/2009,89,Here Comes Goodbye,Rascal Flatts,Here Comes GoodbyeRascal Flatts,1,,89,1
8/7/2004,69,Here For The Party,Gretchen Wilson,Here For The PartyGretchen Wilson,1,,69,1
7/12/2008,99,Here I Am,Rick Ross Featuring Nelly & Avery Storm,Here I AmRick Ross Featuring Nelly & Avery Storm,1,,99,1
3/23/2002,63,Here Is Gone,Goo Goo Dolls,Here Is GoneGoo Goo Dolls,1,,63,1
9/16/2006,87,Here It Goes Again,OK Go,Here It Goes AgainOK Go,1,,87,1
5/25/2002,72,Here To Stay,Korn,Here To StayKorn,1,,72,1
7/11/2009,51,Here We Go Again,Demi Lovato,Here We Go AgainDemi Lovato,1,,51,1
10/8/2005,92,Here We Go,Trina Featuring Kelly Rowland,Here We GoTrina Featuring Kelly Rowland,1,,92,1
8/30/2003,64,Here Without You,3 Doors Down,Here Without You3 Doors Down,1,,64,1
10/18/2008,94,Here,Rascal Flatts,HereRascal Flatts,1,,94,1
6/9/2001,74,Here's To The Night,Eve 6,Here's To The NightEve 6,1,,74,1
12/22/2007,84,Hero/Heroine,Boys Like Girls,Hero/HeroineBoys Like Girls,1,,84,1
5/18/2002,69,Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,1,,69,1
9/29/2001,44,Hero,Enrique Iglesias,HeroEnrique Iglesias,1,,44,1
8/2/2008,97,Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,1,,97,1
12/8/2001,62,Hey Baby,No Doubt Featuring Bounty Killer,Hey BabyNo Doubt Featuring Bounty Killer,1,,62,1
6/19/2004,68,Hey Good Lookin',"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait","Hey Good Lookin'Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",1,,68,1
1/26/2002,67,Hey Luv (Anything),Mobb Deep Featuring 112,Hey Luv (Anything)Mobb Deep Featuring 112,1,,67,1
8/31/2002,50,Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya","Hey MaCam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",1,,50,1
4/10/2004,67,Hey Mama,The Black Eyed Peas,Hey MamaThe Black Eyed Peas,1,,67,1
12/4/2004,93,Hey Now (Mean Muggin),Xzibit Featuring Keri Hilson,Hey Now (Mean Muggin)Xzibit Featuring Keri Hilson,1,,93,1
8/12/2000,98,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,Hey PapiJay-Z Featuring Memphis Bleek & Amil,1,,98,1
11/29/2008,94,Hey Stephen,Taylor Swift,Hey StephenTaylor Swift,1,,94,1
4/14/2007,79,Hey There Delilah,Plain White T's,Hey There DelilahPlain White T's,1,,79,1
10/18/2003,57,Hey Ya!,OutKast,Hey Ya!OutKast,1,,57,1
10/17/2009,98,"Hey, Soul Sister",Train,"Hey, Soul SisterTrain",1,,98,1
6/20/2009,70,Hey,Mitchel Musso,HeyMitchel Musso,1,,70,1
8/13/2005,100,Hicktown,Jason Aldean,HicktownJason Aldean,1,,100,1
3/3/2007,73,High Maintenance Woman,Toby Keith,High Maintenance WomanToby Keith,1,,73,1
11/25/2006,97,High School Never Ends,Bowling For Soup,High School Never EndsBowling For Soup,1,,97,1
6/24/2006,100,High,James Blunt,HighJames Blunt,1,,100,1
2/10/2007,92,Hillbilly Deluxe,Brooks & Dunn,Hillbilly DeluxeBrooks & Dunn,1,,92,1
12/23/2006,76,Hip Hop Is Dead,Nas Featuring will.i.am,Hip Hop Is DeadNas Featuring will.i.am,1,,76,1
4/1/2006,84,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't LieShakira Featuring Wyclef Jean,1,,84,1
11/7/2009,99,History In The Making,Darius Rucker,History In The MakingDarius Rucker,1,,99,1
5/5/2001,83,Hit 'Em Up Style (Oops!),Blu Cantrell,Hit 'Em Up Style (Oops!)Blu Cantrell,1,,83,1
12/20/2003,74,Hit That,The Offspring,Hit ThatThe Offspring,1,,74,1
12/17/2005,95,Hit The Floor,Twista Featuring Pitbull,Hit The FloorTwista Featuring Pitbull,1,,95,1
11/9/2002,86,Hit The Freeway,Toni Braxton Featuring Loon,Hit The FreewayToni Braxton Featuring Loon,1,,86,1
3/28/2009,56,Hoedown Throwdown,Miley Cyrus,Hoedown ThrowdownMiley Cyrus,1,,56,1
2/14/2004,63,Hold On,Good Charlotte,Hold OnGood Charlotte,1,,63,1
8/11/2007,92,Hold On,Jonas Brothers,Hold OnJonas Brothers,1,,92,1
3/14/2009,47,Hold Up My Heart,Brooke White,Hold Up My HeartBrooke White,1,,47,1
3/19/2005,79,Hold You Down,Jennifer Lopez Featuring Fat Joe,Hold You DownJennifer Lopez Featuring Fat Joe,1,,79,1
1/8/2005,99,Hold You Down,"The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky","Hold You DownThe Alchemist Featuring Prodigy, Illa Ghee & Nina Sky",1,,99,1
6/12/2004,98,Hole In The Head,Sugababes,Hole In The HeadSugababes,1,,98,1
8/2/2003,77,Hole In The World,Eagles,Hole In The WorldEagles,1,,77,1
9/20/2003,73,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,Holidae InChingy Featuring Ludacris & Snoop Dogg,1,,73,1
4/9/2005,98,Holiday,Green Day,HolidayGreen Day,1,,98,1
6/24/2006,59,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull","Holla At MeDJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",1,,59,1
4/2/2005,82,Hollaback Girl,Gwen Stefani,Hollaback GirlGwen Stefani,1,,82,1
7/19/2008,98,Holler Back,The Lost Trailers,Holler BackThe Lost Trailers,1,,98,1
4/5/2008,84,Hollywood's Not America,Ferras,Hollywood's Not AmericaFerras,1,,84,1
1/1/2005,75,Holy Water,Big & Rich,Holy WaterBig & Rich,1,,75,1
3/28/2009,21,Home Sweet Home,Carrie Underwood,Home Sweet HomeCarrie Underwood,1,,21,1
4/26/2008,91,Home,Blake Shelton,HomeBlake Shelton,1,,91,1
6/7/2008,96,Homecoming,Kanye West Featuring Chris Martin,HomecomingKanye West Featuring Chris Martin,1,,96,1
3/17/2007,83,Home,Daughtry,HomeDaughtry,1,,83,1
5/21/2005,98,Home,Michael Buble,HomeMichael Buble,1,,98,1
2/12/2005,94,Home,Three Days Grace,HomeThree Days Grace,1,,94,1
3/26/2005,91,Homewrecker,Gretchen Wilson,HomewreckerGretchen Wilson,1,,91,1
1/13/2007,89,Honestly,Cartel,HonestlyCartel,1,,89,1
10/4/2003,94,Honesty (Write Me A List),Rodney Atkins,Honesty (Write Me A List)Rodney Atkins,1,,94,1
3/15/2008,88,Honey,Erykah Badu,HoneyErykah Badu,1,,88,1
11/5/2005,91,Honky Tonk Badonkadonk,Trace Adkins,Honky Tonk BadonkadonkTrace Adkins,1,,91,1
10/24/2009,97,Honky Tonk Stomp,Brooks & Dunn Featuring Billy Gibbons,Honky Tonk StompBrooks & Dunn Featuring Billy Gibbons,1,,97,1
2/26/2005,93,Honkytonk U,Toby Keith,Honkytonk UToby Keith,1,,93,1
8/11/2007,100,Hood Figga,Gorilla Zoe,Hood FiggaGorilla Zoe,1,,100,1
2/5/2005,65,Hope,Twista Featuring Faith Evans,HopeTwista Featuring Faith Evans,1,,65,1
10/18/2003,89,Hot & Wet,112 Featuring Ludacris,Hot & Wet112 Featuring Ludacris,1,,89,1
8/14/2004,100,Hot 2Nite,New Edition,Hot 2NiteNew Edition,1,,100,1
5/4/2002,49,Hot In Herre,Nelly,Hot In HerreNelly,1,,49,1
1/24/2004,73,Hot Mama,Trace Adkins,Hot MamaTrace Adkins,1,,73,1
8/29/2009,64,Hot Mess,Cobra Starship,Hot MessCobra Starship,1,,64,1
7/5/2008,88,Hot N Cold,Katy Perry,Hot N ColdKaty Perry,1,,88,1
4/4/2009,33,Hot Revolver,Lil Wayne,Hot RevolverLil Wayne,1,,33,1
12/8/2007,95,Hot,Avril Lavigne,HotAvril Lavigne,1,,95,1
7/4/2009,63,Hotel Room Service,Pitbull,Hotel Room ServicePitbull,1,,63,1
12/20/2003,82,Hotel,Cassidy Featuring R. Kelly,HotelCassidy Featuring R. Kelly,1,,82,1
10/23/2004,72,How Am I Doin',Dierks Bentley,How Am I Doin'Dierks Bentley,1,,72,1
9/22/2007,97,How 'Bout Them Cowgirls,George Strait,How 'Bout Them CowgirlsGeorge Strait,1,,97,1
7/22/2006,99,How 'Bout You,Eric Church,How 'Bout YouEric Church,1,,99,1
4/6/2002,74,How Come You Don't Call Me,Alicia Keys,How Come You Don't Call MeAlicia Keys,1,,74,1
7/3/2004,70,How Come,D12,How ComeD12,1,,70,1
3/19/2005,93,How Could You,Mario,How Could YouMario,1,,93,1
9/4/2004,97,How Did You Know?,Mynt Featuring Kim Sozzi,How Did You Know?Mynt Featuring Kim Sozzi,1,,97,1
7/7/2007,91,How Do I Breathe,Mario,How Do I BreatheMario,1,,91,1
3/19/2005,91,How Do You Get That Lonely,Blaine Larsen,How Do You Get That LonelyBlaine Larsen,1,,91,1
1/29/2000,77,How Do You Like Me Now?!,Toby Keith,How Do You Like Me Now?!Toby Keith,1,,77,1
2/21/2009,94,How Do You Sleep?,Jesse McCartney Featuring Ludacris,How Do You Sleep?Jesse McCartney Featuring Ludacris,1,,94,1
9/15/2007,93,How Far We've Come,matchbox twenty,How Far We've Comematchbox twenty,1,,93,1
7/10/2004,72,How Far,Martina McBride,How FarMartina McBride,1,,72,1
12/26/2009,13,How Low,Ludacris,How LowLudacris,1,,13,1
11/25/2000,79,How Many Licks?,Lil' Kim Featuring Sisqo,How Many Licks?Lil' Kim Featuring Sisqo,1,,79,1
5/28/2005,94,How To Deal,Frankie J,How To DealFrankie J,1,,94,1
4/15/2006,93,How To Save A Life,The Fray,How To Save A LifeThe Fray,1,,93,1
11/27/2004,65,How We Do,The Game Featuring 50 Cent,How We DoThe Game Featuring 50 Cent,1,,65,1
1/4/2003,73,How You Gonna Act Like That,Tyrese,How You Gonna Act Like ThatTyrese,1,,73,1
9/8/2001,75,How You Remind Me,Nickelback,How You Remind MeNickelback,1,,75,1
5/17/2003,98,How You Want That,Loon Featuring Kelis,How You Want ThatLoon Featuring Kelis,1,,98,1
10/18/2008,32,Human,The Killers,HumanThe Killers,1,,32,1
11/5/2005,20,Hung Up,Madonna,Hung UpMadonna,1,,20,1
10/14/2006,100,Hurt,Christina Aguilera,HurtChristina Aguilera,1,,100,1
5/30/2009,96,Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger,Hush HushThe Pussycat Dolls Featuring Nicole Scherzinger,1,,96,1
1/26/2002,96,Hush Lil' Lady,Corey Featuring Lil' Romeo,Hush Lil' LadyCorey Featuring Lil' Romeo,1,,96,1
9/25/2004,69,Hush,LL Cool J Featuring 7 Aurelius,HushLL Cool J Featuring 7 Aurelius,1,,69,1
4/29/2006,96,Hustler Musik,Lil Wayne,Hustler MusikLil Wayne,1,,96,1
11/5/2005,73,Hustler's Ambition,50 Cent,Hustler's Ambition50 Cent,1,,73,1
5/20/2006,90,Hustlin',Rick Ross,Hustlin'Rick Ross,1,,90,1
10/13/2007,96,Hypnotized,Plies Featuring Akon,HypnotizedPlies Featuring Akon,1,,96,1
11/5/2005,93,Hypnotize,System Of A Down,HypnotizeSystem Of A Down,1,,93,1
10/12/2002,74,I Am Mine,Pearl Jam,I Am MinePearl Jam,1,,74,1
6/3/2006,97,I Am Not My Hair,India.Arie,I Am Not My HairIndia.Arie,1,,97,1
1/10/2004,71,I Am The Highway,Audioslave,I Am The HighwayAudioslave,1,,71,1
12/26/2009,67,I Am,Mary J. Blige,I AmMary J. Blige,1,,67,1
3/22/2003,69,I Believe,Diamond Rio,I BelieveDiamond Rio,1,,69,1
7/10/2004,1,I Believe,Fantasia,I BelieveFantasia,1,,1,1
3/25/2000,78,I Belong To You,Lenny Kravitz,I Belong To YouLenny Kravitz,1,,78,1
2/9/2002,78,"I Breathe In, I Breathe Out",Chris Cagle,"I Breathe In, I Breathe OutChris Cagle",1,,78,1
8/5/2006,95,I Call It Love,Lionel Richie,I Call It LoveLionel Richie,1,,95,1
10/11/2003,76,I Can Only Imagine,MercyMe,I Can Only ImagineMercyMe,1,,76,1
10/24/2009,52,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,I Can Transform YaChris Brown Featuring Lil Wayne & Swizz Beatz,1,,52,1
3/1/2003,46,I Can,Nas,I CanNas,1,,46,1
9/23/2006,87,I Can't Hate You Anymore,Nick Lachey,I Can't Hate You AnymoreNick Lachey,1,,87,1
5/22/2004,75,I Can't Sleep,Clay Walker,I Can't SleepClay Walker,1,,75,1
5/21/2005,96,I Can't Stop Loving You,Kem,I Can't Stop Loving YouKem,1,,96,1
11/22/2003,98,I Can't Take You Anywhere,Scotty Emerick With Toby Keith,I Can't Take You AnywhereScotty Emerick With Toby Keith,1,,98,1
6/17/2006,98,I Can't Unlove You,Kenny Rogers,I Can't Unlove YouKenny Rogers,1,,98,1
2/21/2004,58,I Can't Wait,Sleepy Brown Featuring OutKast,I Can't WaitSleepy Brown Featuring OutKast,1,,58,1
8/24/2002,67,I Care 4 U,Aaliyah,I Care 4 UAaliyah,1,,67,1
11/27/2004,72,I Changed My Mind,Keyshia Cole Featuring Shyne,I Changed My MindKeyshia Cole Featuring Shyne,1,,72,1
4/21/2001,83,I Could Not Ask For More,Sara Evans,I Could Not Ask For MoreSara Evans,1,,83,1
5/5/2001,92,I Cry,Ja Rule Featuring Lil' Mo,I CryJa Rule Featuring Lil' Mo,1,,92,1
5/20/2006,88,I Dare You,Shinedown,I Dare YouShinedown,1,,88,1
1/27/2001,76,I Did It,Dave Matthews Band,I Did ItDave Matthews Band,1,,76,1
5/13/2000,86,I Disappear,Metallica,I DisappearMetallica,1,,86,1
8/3/2002,95,I Do (Wanna Get Close To You),3LW Featuring P. Diddy & Loon,I Do (Wanna Get Close To You)3LW Featuring P. Diddy & Loon,1,,95,1
5/2/2009,88,I Do Not Hook Up,Kelly Clarkson,I Do Not Hook UpKelly Clarkson,1,,88,1
6/2/2001,82,I Do!!,Toya,I Do!!Toya,1,,82,1
11/1/2008,92,I Don't Care,Apocalyptica Featuring Adam Gontier,I Don't CareApocalyptica Featuring Adam Gontier,1,,92,1
9/27/2008,21,I Don't Care,Fall Out Boy,I Don't CareFall Out Boy,1,,21,1
10/15/2005,98,I Don't Care,Ricky Martin Featuring Fat Joe & Amerie,I Don't CareRicky Martin Featuring Fat Joe & Amerie,1,,98,1
9/1/2007,74,I Don't Dance,Corbin Bleu & Lucas Grabeel,I Don't DanceCorbin Bleu & Lucas Grabeel,1,,74,1
4/6/2002,73,I Don't Have To Be Me ('til Monday),Steve Azar,I Don't Have To Be Me ('til Monday)Steve Azar,1,,73,1
5/12/2007,93,I Don't Need A Man,The Pussycat Dolls,I Don't Need A ManThe Pussycat Dolls,1,,93,1
9/22/2007,88,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem)Good Charlotte,1,,88,1
4/15/2000,63,I Don't Wanna Kiss You Goodnight,LFO,I Don't Wanna Kiss You GoodnightLFO,1,,63,1
2/21/2004,72,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,I Don't Wanna KnowMario Winans Featuring Enya & P. Diddy,1,,72,1
5/26/2007,85,I Don't Wanna Stop,Ozzy Osbourne,I Don't Wanna StopOzzy Osbourne,1,,85,1
1/29/2000,84,I Don't Wanna,Aaliyah,I Don't WannaAaliyah,1,,84,1
10/23/2004,73,I Don't Want To Be,Gavin DeGraw,I Don't Want To BeGavin DeGraw,1,,73,1
6/7/2008,42,I Don't Want To Miss A Thing,David Cook,I Don't Want To Miss A ThingDavid Cook,1,,42,1
5/11/2002,71,I Don't Want You To Go,Carolyn Dawn Johnson,I Don't Want You To GoCarolyn Dawn Johnson,1,,71,1
12/12/2009,62,I Dreamed A Dream,Susan Boyle,I Dreamed A DreamSusan Boyle,1,,62,1
2/15/2003,74,I Drove All Night,Celine Dion,I Drove All NightCeline Dion,1,,74,1
2/28/2009,53,I Get It In,50 Cent,I Get It In50 Cent,1,,53,1
11/14/2009,99,I Get It In,Omarion Featuring Gucci Mane,I Get It InOmarion Featuring Gucci Mane,1,,99,1
9/8/2007,85,I Get Money,50 Cent,I Get Money50 Cent,1,,85,1
6/12/2004,66,I Go Back,Kenny Chesney,I Go BackKenny Chesney,1,,66,1
6/26/2004,73,I Got A Feelin',Billy Currington,I Got A Feelin'Billy Currington,1,,73,1
8/25/2007,93,I Got It From My Mama,will.i.am,I Got It From My Mamawill.i.am,1,,93,1
11/11/2006,67,I Got Nerve,Hannah Montana,I Got NerveHannah Montana,1,,67,1
6/3/2006,99,I Got You,Craig Morgan,I Got YouCraig Morgan,1,,99,1
6/27/2009,2,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,,2,1
8/14/2004,69,I Hate Everything,George Strait,I Hate EverythingGeorge Strait,1,,69,1
12/13/2008,79,I Hate This Part,The Pussycat Dolls,I Hate This PartThe Pussycat Dolls,1,,79,1
5/13/2000,83,I Hope You Dance,Lee Ann Womack,I Hope You DanceLee Ann Womack,1,,83,1
11/7/2009,90,I Invented Sex,Trey Songz Featuring Drake,I Invented SexTrey Songz Featuring Drake,1,,90,1
8/15/2009,97,I Just Call You Mine,Martina McBride,I Just Call You MineMartina McBride,1,,97,1
11/9/2002,79,I Just Wanna Be Mad,Terri Clark,I Just Wanna Be MadTerri Clark,1,,79,1
2/12/2005,55,I Just Wanna Live,Good Charlotte,I Just Wanna LiveGood Charlotte,1,,55,1
10/28/2000,58,I Just Wanna Love U (Give It 2 Me),JAY-Z,I Just Wanna Love U (Give It 2 Me)JAY-Z,1,,58,1
7/20/2002,70,I Keep Looking,Sara Evans,I Keep LookingSara Evans,1,,70,1
5/24/2008,76,I Kissed A Girl,Katy Perry,I Kissed A GirlKaty Perry,1,,76,1
3/8/2003,57,I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,I Know What You WantBusta Rhymes & Mariah Carey Featuring The Flipmode Squad,1,,57,1
7/15/2006,96,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See ItYung Joc Featuring Brandy 'Ms. B.' Hambrick,1,,96,1
3/14/2009,66,I Know You Want Me (Calle Ocho),Pitbull,I Know You Want Me (Calle Ocho)Pitbull,1,,66,1
12/30/2000,98,I Know,Sunday,I KnowSunday,1,,98,1
2/19/2000,83,I Learned From The Best,Whitney Houston,I Learned From The BestWhitney Houston,1,,83,1
1/29/2000,85,I Like It,Sammie,I Like ItSammie,1,,85,1
6/19/2004,75,I Like That,"Houston Featuring Chingy, Nate Dogg & I-20","I Like ThatHouston Featuring Chingy, Nate Dogg & I-20",1,,75,1
5/10/2008,95,I Like The Way She Do It,G Unit,I Like The Way She Do ItG Unit,1,,95,1
4/7/2001,87,I Like Them Girls,Tyrese,I Like Them GirlsTyrese,1,,87,1
8/22/2009,74,I Look To You,Whitney Houston,I Look To YouWhitney Houston,1,,74,1
10/21/2000,75,I Lost It,Kenny Chesney,I Lost ItKenny Chesney,1,,75,1
2/28/2009,55,I Love College,Asher Roth,I Love CollegeAsher Roth,1,,55,1
6/10/2006,98,I Love My B****,Busta Rhymes Featuring will.i.am & Kelis,I Love My B****Busta Rhymes Featuring will.i.am & Kelis,1,,98,1
9/6/2003,85,I Love This Bar,Toby Keith,I Love This BarToby Keith,1,,85,1
1/24/2004,74,I Love You This Much,Jimmy Wayne,I Love You This MuchJimmy Wayne,1,,74,1
5/3/2003,95,I Love You,Dru Hill,I Love YouDru Hill,1,,95,1
1/26/2002,77,I Love You,Faith Evans,I Love YouFaith Evans,1,,77,1
8/26/2006,75,I Loved Her First,Heartland,I Loved Her FirstHeartland,1,,75,1
12/2/2006,100,I Luv It,Young Jeezy,I Luv ItYoung Jeezy,1,,100,1
5/10/2008,97,I Luv Your Girl,The-Dream,I Luv Your GirlThe-Dream,1,,97,1
1/29/2005,73,I May Hate Myself In The Morning,Lee Ann Womack,I May Hate Myself In The MorningLee Ann Womack,1,,73,1
8/23/2003,79,I Melt,Rascal Flatts,I MeltRascal Flatts,1,,79,1
6/15/2002,73,I Miss My Friend,Darryl Worley,I Miss My FriendDarryl Worley,1,,73,1
3/20/2004,70,I Miss You,Blink-182,I Miss YouBlink-182,1,,70,1
2/2/2002,96,I Miss You,DMX Featuring Faith Evans,I Miss YouDMX Featuring Faith Evans,1,,96,1
3/16/2002,74,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,I Need A Girl (Part One)P. Diddy Featuring Usher & Loon,1,,74,1
6/8/2002,55,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri","I Need A Girl (Part Two)P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",1,,55,1
5/30/2009,100,I Need A Girl,Trey Songz,I Need A GirlTrey Songz,1,,100,1
2/19/2000,77,I Need A Hot Girl,Hot Boys,I Need A Hot GirlHot Boys,1,,77,1
11/29/2003,96,I Need You Now,Smokie Norful,I Need You NowSmokie Norful,1,,96,1
5/27/2000,77,I Need You,LeAnn Rimes,I Need YouLeAnn Rimes,1,,77,1
6/2/2007,93,I Need You,Tim McGraw With Faith Hill,I Need YouTim McGraw With Faith Hill,1,,93,1
12/29/2007,80,I Remember,Keyshia Cole,I RememberKeyshia Cole,1,,80,1
4/4/2009,100,I Run To You,Lady Antebellum,I Run To YouLady Antebellum,1,,100,1
3/8/2008,54,I Saw God Today,George Strait,I Saw God TodayGeorge Strait,1,,54,1
3/16/2002,84,I Should Be Sleeping,Emerson Drive,I Should Be SleepingEmerson Drive,1,,84,1
12/7/2002,72,I Should Be...,Dru Hill,I Should Be...Dru Hill,1,,72,1
10/8/2005,85,I Should Have Cheated,Keyshia Cole,I Should Have CheatedKeyshia Cole,1,,85,1
10/30/2004,85,"I Smoke, I Drank",Body Head Bangerz Featuring YoungBloodz,"I Smoke, I DrankBody Head Bangerz Featuring YoungBloodz",1,,85,1
6/7/2008,22,I Still Haven't Found What I'm Looking For,David Cook,I Still Haven't Found What I'm Looking ForDavid Cook,1,,22,1
6/28/2008,98,I Still Miss You,Keith Anderson,I Still Miss YouKeith Anderson,1,,98,1
6/10/2000,71,I Think God Can Explain,Splender,I Think God Can ExplainSplender,1,,71,1
7/1/2000,63,I Think I'm In Love With You,Jessica Simpson,I Think I'm In Love With YouJessica Simpson,1,,63,1
9/24/2005,90,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","I Think They Like MeDem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",1,,90,1
5/4/2002,98,I Told Y'all,Petey Pablo,I Told Y'allPetey Pablo,1,,98,1
2/28/2009,92,I Told You So,Carrie Underwood Featuring Randy Travis,I Told You SoCarrie Underwood Featuring Randy Travis,1,,92,1
5/26/2007,94,I Told You So,Keith Urban,I Told You SoKeith Urban,1,,94,1
4/14/2007,82,I Tried,Bone Thugs-N-Harmony Featuring Akon,I TriedBone Thugs-N-Harmony Featuring Akon,1,,82,1
