weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
12/13/2008,89,Amazing,Kanye West Featuring Young Jeezy,AmazingKanye West Featuring Young Jeezy,1,,89,1
5/14/2005,19,American Baby,Dave Matthews Band,American BabyDave Matthews Band,1,,19,1
5/3/2008,98,American Boy,Estelle Featuring Kanye West,American BoyEstelle Featuring Kanye West,1,,98,1
9/6/2008,85,American Boy,Studio All-Stars,American BoyStudio All-Stars,1,,85,1
8/24/2002,78,American Child,Phil Vassar,American ChildPhil Vassar,1,,78,1
8/21/2004,77,American Idiot,Green Day,American IdiotGreen Day,1,,77,1
4/5/2003,90,American Life,Madonna,American LifeMadonna,1,,90,1
2/19/2000,43,American Pie,Madonna,American PieMadonna,1,,43,1
8/15/2009,54,American Ride,Toby Keith,American RideToby Keith,1,,54,1
12/19/2009,100,American Saturday Night,Brad Paisley,American Saturday NightBrad Paisley,1,,100,1
12/27/2003,69,American Soldier,Toby Keith,American SoldierToby Keith,1,,69,1
5/16/2009,78,America's Suitehearts,Fall Out Boy,America's SuiteheartsFall Out Boy,1,,78,1
12/24/2005,78,Amor Eterno,Cristian Castro,Amor EternoCristian Castro,1,,78,1
7/9/2005,97,An Honest Mistake,The Bravery,An Honest MistakeThe Bravery,1,,97,1
12/26/2009,94,And I Am Telling You I'm Not Going,Glee Cast,And I Am Telling You I'm Not GoingGlee Cast,1,,94,1
1/13/2007,98,And I Am Telling You I'm Not Going,Jennifer Hudson,And I Am Telling You I'm Not GoingJennifer Hudson,1,,98,1
10/29/2005,96,And I,Ciara,And ICiara,1,,96,1
7/23/2005,91,And Then What,Young Jeezy Featuring Mannie Fresh,And Then WhatYoung Jeezy Featuring Mannie Fresh,1,,91,1
2/1/2003,64,Angel,Amanda Perez,AngelAmanda Perez,1,,64,1
6/24/2006,99,Angelito,Don Omar,AngelitoDon Omar,1,,99,1
5/5/2001,70,Angel,Lionel Richie,AngelLionel Richie,1,,70,1
10/4/2008,93,Angel,Natasha Bedingfield,AngelNatasha Bedingfield,1,,93,1
10/6/2001,79,Angels In Waiting,Tammy Cochran,Angels In WaitingTammy Cochran,1,,79,1
1/31/2009,92,Angels On The Moon,Thriving Ivory,Angels On The MoonThriving Ivory,1,,92,1
11/15/2008,89,Angels,David Archuleta,AngelsDavid Archuleta,1,,89,1
12/30/2000,81,Angel,Shaggy Featuring Rayvon,AngelShaggy Featuring Rayvon,1,,81,1
8/18/2001,70,Angry All The Time,Tim McGraw,Angry All The TimeTim McGraw,1,,70,1
5/6/2006,93,Animal I Have Become,Three Days Grace,Animal I Have BecomeThree Days Grace,1,,93,1
2/25/2006,99,Animals,Nickelback,AnimalsNickelback,1,,99,1
12/16/2006,66,Anna-Molly,Incubus,Anna-MollyIncubus,1,,66,1
5/26/2007,52,Anonymous,Bobby Valentino Featuring Timbaland,AnonymousBobby Valentino Featuring Timbaland,1,,52,1
